,note,nrate,ingre,time,rooturl,pattern,recipeurl,budget,level,likes,nutriscore,ecoscore
Pancakes de Noël au Nutella®,5,1,"farine,levure chimique,sel,oeuf,lait frais entier,sucre,huile végétale,Nutella®,groseille pour décorer.Tamisez ensemble la farine, la levure chimique et le sel.Dans un...",60,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_pancakes-de-noel-au-nutella_346583.aspx,bon marché,Niveau moyen,312,,
Muffins de Noël,5,1,"farine,sucre,oeuf,lait,beurre,thé de Noël (Esprit de Noël Mariage Frères ou autre),levure.Préchauffez votre four à 220°C (thermostat 7/8).Faites fondre le beurre.Faites bouillir le lait et...",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_muffins-de-noel_313501.aspx,bon marché,facile,500,d,c
Fondants de Noël,5,1,"sucre glace,oeuf,liqueur (au choix),jus de citron (en bouteille),colorant alimentaire.Tamiser le sucre glace dans un saladier. Faire un petit puits.Dans un petit bol, mélanger le blanc d'oeuf, le citron...",15,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_fondants-de-noel_65545.aspx,bon marché,très facile,319,e,b
Chocolats de noël,3.8,4,"végétaline,chocolat noir,noisettes,amandes,raisin macérés dans du rhum, fruits confits, noix de coco,vanille en poudre,crème fraîche.Faire fondre à feu doux le chocolat et la végétaline.Ajouter...",65,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_chocolats-de-noel_57656.aspx,bon marché,très facile,883,d,d
Rôti de Noël,4.6,14,"rôti de porc , carré et désossé, de 1,5 kg,bouillon de volaille,oignon blanc,airelles,miel,orange,poivre,sel,feuille de laurier.Dans une grande casserole, faites fondre un peu de beurre.Dorez le...",90,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_roti-de-noel_41982.aspx,Coût moyen,facile,1700,a,d
Chapon de Noël au lard fumé,4,2,"chapon,Poitrine Fumée Tranches Fines HERTA®,échalote,Bouillon KUB Volaille MAGGI®,ail,thym,miel,muscade,marrons,beurre.Salez et poivrez l'intérieur de la dinde, glissez...",150,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_chapon-de-noel-au-lard-fume_372538.aspx,Coût moyen,très facile,10,,
Punch de Noël,4.5,2,"jus de cranberries,jus d'orange,rhum blanc,orange,cannelle,étoile de badiane,clou de girofle,vanille.Dans une casserole, verser le jus de cranberry, le jus d'orange le rhum, la gousse de vanille et les...",15,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_punch-de-noel_379254.aspx,bon marché,très facile,15,a,b
Dessert de melon framboises bananes,4.8,5,"melon,framboises (quantité en fonction de vos goûts),banane,yaourt aromatisé à la noix de coco.Couper les melons en 2, ôter les graines et les évider avec une cuillère parisienne. Mettre dans un...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-de-melon-framboises-bananes_80056.aspx,bon marché,très facile,1200,a,b
Dessert à la noix de coco,5,2,"coulis de noix de coco,sucre,farine,sel,oeuf,levure,sucre vanillé.Mélangez le coulis avec le sucre et la farine puis ajoutez y le sel, la levure et le sucre vanillé.Préchauffez le four à 150°C...",60,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-a-la-noix-de-coco_223603.aspx,bon marché,facile,134,d,b
Flan de courgettes en dessert,4.3,9,"whisky de lait,farine,sucre,sucre vanillé,oeuf,courgette.Eplucher la courgette, la faire cuire à l'eau, puis la mixer. Mélanger les ingrédients et ajouter la purée de courgette. Mettre au four...",60,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_flan-de-courgettes-en-dessert_17972.aspx,bon marché,très facile,597,a,b
Gâteau rond de Noël au Nutella®,4.5,8,"farine,sucre,huile de tournesol,blanc d'oeuf,yaourt,levure chimique,sucre glace pour décorer,Nutella®.Préchauffez le four à 180°C (thermostat 6). ...",63,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_gateau-rond-de-noel-au-nutella_349107.aspx,bon marché,facile,3300,,
Dessert chinois au maïs,3.4,9,"maïs doux en conserve,sucre,lait de coco de 400 ml,sel.Mixer les grains de maïs.Ajouter le sucre et le lait de coco.Saler.Faire cuire 20 minutes dans une casserole. Servir dans des bols individuels.",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-chinois-au-mais_16765.aspx,bon marché,très facile,201,b,b
Salade de Noël,4.8,38,"salade (mâche, laitue),Foie gras,saumon fumé,jambon fumé,pain d'épices,pomme,cerneau de noix,pignons de pin,raisin,tomates cerise,huile de tournesol,moutarde,vinaigre de...",15,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_salade-de-noel_42728.aspx,assez cher,très facile,1600,c,b
Schabavari de Noël,0,0,"chou chinois,courgette,brocoli,carotte violettes,carotte oranges,pomme de terre moyennes,dinde farcis,poulet,poivre,sel,épices  massalé ou colombo,herbes de Provence,martini blanc.La veille, cuire...",180,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_schabavari-de-noel_232453.aspx,bon marché,Niveau moyen,62,a,b
Compote de Noël,4.3,21,"pomme,clémentine,sucre,eau,épices  moi j'ai utilisé un mélange pour pain d'épice à base de badiane, cannelle, anis, girofle, cardamome, muscade... Mais on peut aussi utilisé du 4 épices ou simplement...",75,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_compote-de-noel_84112.aspx,bon marché,très facile,6300,a,b
Couronne de Noël à l’orange et au Nutella®,5,1,"oeuf,sucre en poudre,orange de taille moyenne,citron de taille moyenne,yaourt nature,beurre fondu,farine,amandes,levure chimique,sel,Nutella®,orange confites.Préchauffez...",100,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_couronne-de-noel-a-l-orange-et-au-nutella_346570.aspx,bon marché,Niveau moyen,274,,
Thé de Noël ,4.5,2,"thé noir (ou vert, selon les goûts),quatre-épices,écorce d'orange séchée,mandarine séchée,poivre (ou baies rouges).Prendre une bocal type pot de confiture pour y garnir votre thé de...",10,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_the-de-noel_334287.aspx,bon marché,facile,102,a,b
Pizza dessert au Nutella,4.3,36,"pâte à pizza,nutella,banane,amandes effilées, etc..Tartinez généreusement une pâte à pizza « toute faite » de Nutella, en laissant une marge de 2 ou 2,5 cm des bords.Garnissez-la à votre guise...",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_pizza-dessert-au-nutella_22191.aspx,bon marché,très facile,3100,d,c
Noël en mer,0,0,"oeuf de lump,tarama.Pour une verrine d'une personne, dans le fond du verre, déposez une cuillère à café d'oeufs de lumps.Ensuite, ajouter une cuillère à café de tarama rose.Ajoutez à nouveau une...",8,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_noel-en-mer_390792.aspx,Coût moyen,très facile,0,d,d
Bûche d'avant noël ,5,2,"sucre,oeuf,farine,citron,levure,extrait de vanille,confiture de votre choix,chocolat noir,sel.Séparer les jaune des blancs d'oeuf. Battre les jaune avec le sucre jusqu'à blanchiment. Ajouter la farine,...",100,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_buche-d-avant-noel_342894.aspx,Coût moyen,Niveau moyen,342,c,c
Bûche de Noël Pomme Vanille et Nutella®,4.7,10,"jaune d'oeuf,sucre,lait entier,lait entier,crème fleurette,vanille,gélatine en feuilles,boudoir,pomme,Nutella®.Trempez 8 g feuilles de gélatine dans un peu d’eau...",65,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_buche-de-noel-pomme-vanille-et-nutella_371240.aspx,bon marché,facile,2500,,
Dessert aux pommes,5,3,"pomme , selon la taille,vanille,lait,sucre ou édulcorant ou goût,raisins secs,rhum,cannelle,jus de citron,nappage pour tartes.Faites chauffer le rhum bien chaud, et faites macérer les raisins. Pelez...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-aux-pommes_20687.aspx,bon marché,très facile,456,a,b
Dessert glacé au café meringué,4.8,47,"oeuf,sucre en poudre,café de café instantané,meringue,crème fleurette,coulis de caramel,amandes effilées.Mélanger les 4 jaunes d'oeufs à la tasse de sucre en poudre et au sachet de nescafé, puis...",15,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-glace-au-cafe-meringue_24015.aspx,bon marché,très facile,3700,d,c
Postre Rogel (dessert argentin),0,0,"farine 0000,sucre,oeuf,jaune d'oeuf,eau,Alcool d'amandes,beurre à température ambiante,confiture de lait (dulce de Leche),glaçage ,blanc d'oeuf,sucre.Comment faire le gâteau facile Rogel: - Placer...",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_postre-rogel_327256.aspx,Coût moyen,facile,133,d,b
Dessert frais aux litchis,3.4,9,"litchi,gélatine (12 g),petit suisse,sucre,citron jaune,citron vert.Ouvrez les boîtes de litchis et versez le jus dans une casserole. Faites chauffer le jus pour y dissoudre la gélatine.Mixez les...",20,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-frais-aux-litchis_49430.aspx,bon marché,très facile,657,b,c
Bonhommes aux épices de Noël et au Nutella®,4.8,8,"beurre mou,cassonade,miel,jaune d'oeuf,farine,épices à pain d’épices (2 g),bicarbonate (2,5 g),sel,sucre glace,jus de citron,Nutella®.Dans un saladier, mélangez...",69,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=24&page=3,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_bonhommes-aux-epices-de-noel-et-au-nutella_346555.aspx,bon marché,Niveau moyen,1500,,
Dessert rapide au mascarpone,3.7,7,"fruits rouges au sirop ou frais,mascarpone,caramel,sucre.Répartissez les fruits dans 4 ramequins ou verres.Battre le mascarpone avec un peu de sucre et des éclats de caramel.Mettre une cuillère à...",5,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-rapide-au-mascarpone_52032.aspx,bon marché,très facile,1300,d,c
Crème dessert au caramel,3.7,19,"sucre (en poudre ou en morceaux, au choix, 180 g si vous n'aimez pas trop sucré),beurre,lait,maïzena.Mettre le sucre dans une casserole et arroser d'un filet d'eau.Faire bouillir à feu vif en...",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_creme-dessert-au-caramel_315781.aspx,bon marché,facile,2000,c,b
Dessert aux figues de Camille,5,2,"beurre demi-sel,farine,cassonade brune,poudre d'amande,figue,miel (non liquide),romarin,crème fraîche entière,citron,sucre vanillé.Préchauffer le four à 180°C (thermostat 6).Pour le fond :...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-aux-figues-de-camille_330572.aspx,Coût moyen,facile,247,d,c
Butterplätzchen - Sablés de Noël,4.6,11,"farine,sucre,sel,jaune d'oeuf (ou 3 oeufs entiers),sucre vanillé,beurre froid,jaune d'oeuf,sucre vanillé,chocolat pâtissier fondu avec un peu de lait et du sucre vanillé.1)Versez la farine dans un...",40,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_butterplatzchen-sables-de-noel_96242.aspx,bon marché,très facile,1700,d,c
Mini Tatin pommes foie gras de Noël par Laurent Mariotte,0,0,"Foie gras mi-cuit,pain d'épices,pomme,beurre,miel,vinaigre de cidre,sel et poivre du moulin.Pelez et coupez les pommes en petits dés. Dans une poêle, faites fondre le...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_mini-tatin-pommes-foie-gras-par-laurent-mariotte_529511.aspx,Coût moyen,facile,0,,
Sablés exotiques de Noël,5,4,"jaune d'oeuf,mascarpone,beurre mou,farine,levure chimique,amandes,mangue,framboises,citron vert,sucre glace,pistaches,cannelle.Battez le mascarpone avec 60 g de sucre glace et le jus du citron. Versez...",42,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_sables-exotiques-de-noel_334237.aspx,Coût moyen,facile,123,d,c
Bottes de noël en knacki,5,1,"knacki,fromage frais,ciboulette.Fouetter le fromage frais avec la ciboulette ciselée. Cuire les knackis en les plongeant dans l'eau froide ou au micro-ondes. Couper légèrement en biais les knackis en...",15,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_bottes-de-noel-en-knacki_346279.aspx,bon marché,très facile,668,e,e
Délicieux gâteau de Noël,4,3,"pomme de terre ou de carottes râpées,noisettes hachées,farine,cannelle,raisins secs,sucre roux,oeuf,huile,crème fraîche (facultatif),levure.Râper les pommes de terre, hacher les noisettes....",55,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_delicieux-gateau-de-noel_53652.aspx,bon marché,très facile,304,c,b
Coquille de Noël (Belgique),4.7,30,"farine,lait,levure,beurre,jaune d'oeuf,sucre,sel.Verser dans la cuve d'un robot pétrisseur la farine, le lait dans lequel on à dilué la levure et le sucre, le beurre ramolli, les jaunes d’œuf et le...",140,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_coquille-de-noel-belgique_31901.aspx,bon marché,très facile,1500,d,b
Le steak de renne et sa purée de pommes de terre de Juan Arbelaez,0,0,"renne steak,pomme de terre,sang de renne,farine de seigle,oeuf,bière,renne carcasse,confiture de myrtilles,carotte en dés,vin rouge.Faire revenir les carcasses de rennes,...",0,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_le-steak-de-renne-de-juan-arbelaez_528210.aspx,Coût moyen,Niveau moyen,0,,
Petits sablés de Noël,4.7,66,"amandes moulues,beurre mou,sucre glace,sucre vanillé,cannelle,sel,oeuf,farine.Mettre tous les ingrédients dans un saladier et les travailler avec les mains jusqu'à obtenir une boule de pâte.Laisser...",40,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_petits-sables-de-noel_232539.aspx,bon marché,très facile,3700,d,d
Bûche de Noël glacée,4.5,6,"chocolat,sucre glace,crème fraîche,amandes effilées,glace au café,glace à la noix de coco,glace vanille,beurre.Faites fondre le chocolat et le beurre au bain-marie.Une fois que le tout est bien...",40,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_buche-de-noel-glacee_53697.aspx,bon marché,Niveau moyen,335,d,d
Gâteau de Noël périgourdin,5,3,"farine,beurre,sucre,oeuf,chocolat,pomme,miel liquide,cerneau de noix,fleur d'oranger,cannelle en poudre,vanille,eau,sucre,orange.Préparer la pâte à gâteau : faire mousser les oeufs et le sucre,...",80,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_gateau-de-noel-perigourdin_54351.aspx,bon marché,facile,162,d,c
Petits biscuits de Noël,4.6,648,"farine,beurre ramolli,sucre,amandes en poudre,oeuf,levure,cannelle,gingembre,muscade,girofle ...,citron (orange ou mandarine),jaune d'oeuf (mélangé à un peu d'eau).Mélanger dans une grande jatte la...",23,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_petits-biscuits-de-noel_19726.aspx,bon marché,très facile,5000,d,c
Chutney d'épluchures de carottes de GoodPlanet,0,0,"épluchures de 2 carottes,figue,abricot sec,graine de fenouil,graines de coriandre,clou de girofle,huile d'olive,vinaigre de cidre,eau,sel et poivre.Laver les carottes, les...",0,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=36&page=4,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_chutney-d-epluchures-de-carottes_529207.aspx,bon marché,facile,0,,
Sablés de Noël au Thermomix,3,1,"farine,beurre,sucre roux,poudre d'amandes,oeuf entier,jaune d'oeuf,levure,cannelle,muscade.Préchauffer le four à 180°C (thermostat 6).Mettre le sucre et le beurre coupé en morceaux dans le Thermomix....",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=48&page=5,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_sables-de-noel-au-thermomix_392187.aspx,bon marché,facile,0,d,d
Bûche de Noël facile,4.5,159,"oeuf,sucre en poudre,farine,levure alsacienne,chocolat,beurre.Séparer les blancs des jaunes d'oeufs.Fouetter les jaunes d'oeuf avec le sucre et 3 cuillères à soupe d'eau tiède, pour faire...",55,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=48&page=5,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_buche-de-noel-facile_18219.aspx,bon marché,facile,1600,d,c
